district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
8,38,0,4,1,50,1,0,11,243000
7,39,0,2,2,60,0,1,0,259999
1,12,0,4,2,90,1,0,15,590000
7,27,0,7,2,81,0,0,17,225000
9,40,0,1,4,178,0,0,18,995000
4,8,0,2,3,106,1,0,11,495000
8,18,0,2,3,92,1,0,10,269000
2,61,0,2,2,85,0,0,10,410000
9,40,0,4,4,139,1,0,12,790000
3,56,0,2,3,81,0,0,7,199000
9,20,0,0,4,201,0,0,17,1590000
2,29,0,2,4,93,1,0,7,340000
4,62,0,2,3,71,1,0,7,395000
9,22,0,0,3,300,0,0,17,1295000
7,30,0,4,4,94,1,0,15,515000
7,39,0,2,3,68,1,0,10,287000
9,20,0,2,5,238,1,0,0,1265000
1,45,0,2,7,336,1,0,11,1150000
7,4,0,2,3,86,1,0,7,470000
7,39,0,2,2,90,0,0,18,390000
3,31,0,2,3,87,1,0,18,322000
2,61,0,2,2,75,1,0,7,365000
3,31,0,2,3,98,1,0,7,397000
1,12,0,4,4,155,1,0,13,695000
1,45,0,4,2,101,1,0,14,780000
1,51,0,2,4,133,1,0,7,539000
7,4,0,2,3,156,1,0,1,1050000
1,45,0,2,4,174,1,0,10,850000
6,11,0,2,3,88,1,0,14,445000
7,39,0,7,3,200,0,0,17,1050000
7,32,0,2,2,75,1,0,10,239000
2,33,0,2,2,64,1,0,0,239000
8,49,0,2,3,83,1,0,0,200000
9,40,0,2,5,210,1,0,0,1090000
9,20,0,0,5,554,0,0,17,2975000
9,20,0,0,5,600,0,0,17,1648000
7,16,0,2,3,67,1,0,12,169000
1,51,0,2,6,133,1,0,7,720000
9,15,0,2,5,200,1,0,12,890000
8,49,0,2,3,110,1,0,1,360000
0,41,0,2,2,62,1,0,0,195000
