district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
Les Corts,Pedralbes,good condition,Flat,4,225,Yes,exterior, floor 1,1350000
Eixample,el Fort Pienc,good condition,Flat,3,158,Yes,exterior, floor 4,599000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,2,102,Yes,exterior, floor 4,595000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,173,Yes,exterior, floor 4,1600000
Eixample,la Dreta de l'Eixample,good condition,Flat,4,136,Yes,exterior,mezzanine,745000
Eixample,la Dreta de l'Eixample,good condition,Flat,6,235,Yes,exterior, floor 4,1220000
Ciutat Vella,la Barceloneta,good condition,Flat,3,76,No,exterior, floor 3,395000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,122,Yes,exterior, floor 1,620000
Sants-Montjuïc,Sants,good condition,Flat,3,78,Yes,exterior, floor 3,390000
Sant Martí,la Verneda i la Pau,good condition,Flat,3,79,No,exterior, floor 1,150000
Ciutat Vella,el Raval,good condition,Flat,3,108,No,exterior, floor 2,298000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,109,Yes,exterior, floor 1,380000
Sant Martí,el Parc i la Llacuna del Poblenou,good condition,Flat,3,73,Yes,exterior,ground floor,283000
Nou Barris,les Roquetes,good condition,Flat,3,105,No,exterior, floor 1,240000
Eixample,la Dreta de l'Eixample,good condition,Flat,4,154,Yes,exterior, floor 3,590000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,2,65,Yes,interior, floor 4,290000
Horta-Guinardó,el Baix Guinardó,good condition,Flat,3,122,Yes,exterior, floor 3,450000
Nou Barris,la Prosperitat,good condition,Penthouse,2,60,Yes,exterior, floor 4,254900
Eixample,la Sagrada Família,good condition,Flat,4,87,Yes,exterior, floor 4,354000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,116,Yes,exterior,mezzanine,845000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,240,Yes,exterior, floor 6,960000
Les Corts,les Corts,good condition,Flat,4,96,Yes,exterior, floor 4,385000
Horta-Guinardó,el Guinardó,good condition,Flat,3,88,Yes,exterior, floor 1,340000
Sant Martí,el Clot,good condition,Penthouse,3,114,Yes,exterior, floor 5,465000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,152,Yes,exterior, floor 4,750000
Sant Martí,Provençals del Poblenou,good condition,Duplex,2,107,Yes,exterior,ground floor,698000
Sarrià-Sant Gervasi,Sarrià,good condition,Flat,3,148,Yes,exterior, floor 2,1300000
Eixample,Sant Antoni,good condition,Flat,3,140,Yes,exterior, floor 8,635000
Nou Barris,Vilapicina i la Torre Llobeta,good condition,Penthouse,2,42,Yes,exterior, floor 6,192100
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,180,Yes,exterior, floor 1,1095000
Horta-Guinardó,el Baix Guinardó,good condition,Flat,3,87,Yes,exterior, floor 5,625000
Sarrià-Sant Gervasi,Sarrià,good condition,Flat,4,139,Yes,exterior, floor 3,1100000
Sarrià-Sant Gervasi,les Tres Torres,good condition,Penthouse,4,365,Yes,exterior, floor 5,2150000
Gràcia,Vallcarca i els Penitents,good condition,Penthouse,2,80,Yes,exterior, floor 4,429000
Sant Martí,el Poblenou,good condition,Penthouse,2,93,No,exterior, floor 2,455000
Nou Barris,Vilapicina i la Torre Llobeta,good condition,Penthouse,3,125,Yes,exterior, floor 5,460000
Eixample,la Nova Esquerra de l'Eixample,good condition,Penthouse,5,155,Yes,exterior, floor 9,890000
Ciutat Vella,el Barri Gòtic,good condition,Flat,3,134,Yes,exterior, floor 1,790000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,112,Yes,exterior,mezzanine,550000
Les Corts,les Corts,good condition,Flat,4,95,Yes,exterior, floor 8,560000
Sant Andreu,Sant Andreu,good condition,Terraced,3,75,No,exterior,Multiple,298000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,1,52,Yes,exterior, floor 5,370000
Les Corts,les Corts,good condition,Flat,2,105,Yes,exterior,ground floor,573000
Les Corts,les Corts,good condition,Flat,3,76,Yes,exterior, floor 3,339500
Les Corts,la Maternitat i Sant Ramon,good condition,Flat,4,101,Yes,interior, floor 3,437500
Eixample,la Dreta de l'Eixample,good condition,Flat,3,146,Yes,exterior, floor 1,1430000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,169,Yes,exterior, floor 6,1650000
Sants-Montjuïc,Sants,good condition,Flat,2,82,Yes,exterior, floor 3,379000
Eixample,la Sagrada Família,good condition,Flat,4,84,Yes,exterior, floor 4,320000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,2,74,No,exterior, floor 2,315000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,75,Yes,exterior, floor 2,540000
Eixample,Sant Antoni,good condition,Flat,4,136,Yes,exterior, floor 4,820000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,4,130,Yes,exterior, floor 1,720000
Sarrià-Sant Gervasi,Sarrià,good condition,Flat,3,126,Yes,exterior, floor 1,790000
Sants-Montjuïc,Sants,good condition,Flat,3,93,Yes,exterior, floor 8,405000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,House,5,311,No,exterior,Multiple,990000
Sant Martí,el Poblenou,good condition,Flat,3,90,Yes,interior,ground floor,330000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,93,Yes,exterior, floor 8,415000
Sant Martí,Provençals del Poblenou,good condition,Flat,4,91,Yes,exterior, floor 5,260000
Sants-Montjuïc,Sants,good condition,Flat,4,86,Yes,exterior, floor 1,320000
Sant Martí,la Verneda i la Pau,good condition,Flat,4,81,Yes,exterior, floor 6,270000
Ciutat Vella,el Raval,good condition,Penthouse,2,63,Yes,exterior, floor 5,349000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,104,Yes,exterior, floor 2,660000
Les Corts,Pedralbes,good condition,House,9,605,No,exterior,Multiple,4500000
Les Corts,Pedralbes,good condition,House,7,900,No,exterior,Multiple,10000000
Sarrià-Sant Gervasi,les Tres Torres,good condition,House,2,224,No,exterior,Multiple,2750000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,House,3,134,No,exterior,Multiple,780000
Horta-Guinardó,la Teixonera,good condition,House,3,79,No,exterior,Multiple,199520
Les Corts,Pedralbes,good condition,House,5,340,No,exterior,Multiple,2060000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,House,5,248,No,exterior,Multiple,1950000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,House,6,474,No,exterior,Multiple,2350000
Nou Barris,la Trinitat Nova,good condition,Flat,3,104,No,exterior, floor 3,176000
Eixample,el Fort Pienc,good condition,Flat,3,78,Yes,exterior, floor 2,499000
Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,3,97,Yes,exterior, floor 5,339000
Les Corts,Pedralbes,good condition,House,4,185,No,exterior,Multiple,860000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,4,107,Yes,exterior, floor 4,460000
Gràcia,la Vila de Gràcia,good condition,Flat,2,65,Yes,exterior, floor 2,245000
Les Corts,la Maternitat i Sant Ramon,good condition,Flat,4,101,Yes,exterior, floor 3,437000
Horta-Guinardó,el Guinardó,good condition,Flat,1,56,Yes,interior, floor 4,169000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,2,70,Yes,exterior, floor 1,385000
Sant Martí,el Clot,good condition,Penthouse,3,99,Yes,exterior, floor 9,430000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,125,Yes,exterior, floor 1,590000
Eixample,el Fort Pienc,good condition,Flat,1,77,Yes,exterior,mezzanine,350000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,120,Yes,exterior, floor 2,1200000
Ciutat Vella,el Raval,good condition,Flat,3,117,Yes,exterior, floor 2,540000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,5,242,Yes,exterior, floor 5,980000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,180,Yes,exterior, floor 4,860000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Penthouse,3,151,Yes,exterior, floor 7,690000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Penthouse,2,151,Yes,exterior, floor 7,690000
Eixample,la Dreta de l'Eixample,good condition,Flat,2,100,Yes,exterior, floor 4,640000
Eixample,la Dreta de l'Eixample,good condition,Penthouse,3,95,Yes,exterior, floor 6,790000
Ciutat Vella,el Barri Gòtic,good condition,Flat,3,145,No,exterior, floor 2,560000
Gràcia,Vallcarca i els Penitents,good condition,Penthouse,2,108,Yes,exterior, floor 3,530000
Les Corts,les Corts,good condition,Flat,2,82,Yes,exterior, floor 4,862000
Les Corts,les Corts,good condition,Flat,2,98,Yes,exterior, floor 2,595000
Eixample,la Dreta de l'Eixample,good condition,Flat,2,125,Yes,interior,mezzanine,890000
Les Corts,les Corts,good condition,Flat,2,67,Yes,exterior, floor 2,365000
Eixample,la Nova Esquerra de l'Eixample,good condition,Penthouse,4,118,Yes,exterior, floor 8,650000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,4,140,Yes,exterior,mezzanine,795000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,4,85,Yes,exterior, floor 2,420000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,200,Yes,exterior, floor 2,1400000
Sants-Montjuïc,Sants,good condition,Flat,3,88,Yes,exterior, floor 4,365000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,139,Yes,exterior, floor 2,595000
Sants-Montjuïc,la Marina de Port,good condition,Penthouse,2,59,Yes,exterior, floor 9,255000
Eixample,Sant Antoni,good condition,Flat,1,46,Yes,interior,ground floor,165000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,71,Yes,exterior, floor 4,369000
Eixample,la Dreta de l'Eixample,good condition,Flat,4,136,Yes,exterior, floor 2,745000
Gràcia,la Vila de Gràcia,good condition,Penthouse,3,99,Yes,exterior, floor 6,650000
Eixample,la Dreta de l'Eixample,good condition,Penthouse,3,99,Yes,exterior, floor 6,650000
Eixample,la Sagrada Família,good condition,Duplex,4,800,Yes,exterior,ground floor,1700000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,133,Yes,exterior, floor 2,750000
Eixample,la Sagrada Família,good condition,Flat,3,385,No,exterior,ground floor,1450000
Sant Martí,el Camp de l'Arpa del Clot,good condition,Flat,3,75,Yes,interior,mezzanine,230000
Eixample,la Dreta de l'Eixample,good condition,Flat,2,105,Yes,exterior, floor 5,565000
Sant Martí,el Parc i la Llacuna del Poblenou,good condition,Flat,1,62,Yes,exterior, floor 1,390000
Sant Martí,el Clot,good condition,Flat,3,84,No,exterior, floor 1,290000
Les Corts,les Corts,good condition,Flat,4,101,Yes,exterior, floor 2,525000
Les Corts,les Corts,good condition,Flat,3,92,Yes,exterior, floor 6,375000
Les Corts,les Corts,good condition,Flat,3,88,Yes,exterior, floor 4,365000
Sant Martí,el Clot,good condition,Flat,2,45,Yes,exterior, floor 2,209000
Eixample,la Sagrada Família,good condition,Flat,1,59,Yes,exterior, floor 1,199900
Horta-Guinardó,Can Baró,good condition,Semi-detached,4,250,No,exterior,Multiple,795000
Eixample,Sant Antoni,good condition,Flat,3,85,Yes,exterior, floor 2,389000
Sant Andreu,Navas,good condition,Flat,4,87,Yes,exterior, floor 3,307000
Horta-Guinardó,el Guinardó,good condition,Flat,3,76,Yes,exterior, floor 4,269000
Eixample,la Dreta de l'Eixample,good condition,Flat,4,179,Yes,exterior, floor 2,765000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,4,149,Yes,exterior, floor 3,710000
Les Corts,les Corts,good condition,Flat,1,51,Yes,exterior, floor 1,280000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,152,Yes,exterior, floor 3,695000
Eixample,Sant Antoni,good condition,Flat,3,84,Yes,exterior, floor 1,359000
Sarrià-Sant Gervasi,Sarrià,good condition,Flat,3,92,Yes,exterior,ground floor,598000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,75,Yes,exterior, floor 4,365000
Les Corts,les Corts,good condition,Flat,1,49,Yes,exterior, floor 2,315000
Eixample,Sant Antoni,good condition,Flat,2,100,Yes,exterior, floor 5,535000
Gràcia,Vallcarca i els Penitents,good condition,Flat,5,260,Yes,exterior, floor 2,1050000
Horta-Guinardó,Can Baró,good condition,Flat,3,70,Yes,interior, floor 1,239000
